split,seed,strategy,lang,S,D,I,N,records,WER,label
DEV,202,A_Global,fa,2150,329,394,8170,369,35.165238678090574,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text,fa,2059,320,399,8170,369,34.00244798041616,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text+Global,fa,2058,321,398,8170,369,33.99020807833537,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Conf,fa,2142,302,416,8170,369,35.00611995104039,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Global,fa,2127,304,416,8170,369,34.847001223990205,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text,fa,2043,303,412,8170,369,33.75764993880049,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text+Global,fa,2030,302,412,8170,369,33.58629130966952,POST_REVIEW_DIAGNOSTIC
DEV,202,Conf,pl,732,82,80,5938,338,15.055574267430112,EXACT_REUSE
DEV,202,Global,pl,718,79,80,5938,338,14.769282586729538,EXACT_REUSE
DEV,202,Text,pl,668,79,77,5938,338,13.876726170427753,EXACT_REUSE
DEV,202,Text+Global,pl,669,78,78,5938,338,13.893566857527787,EXACT_REUSE
DEV,202,ConfDupClean,pl,732,82,80,5938,338,15.055574267430112,POST_REVIEW_DIAGNOSTIC
DEV,202,ConfPerm,pl,718,79,80,5938,338,14.769282586729538,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Conf,pl,729,88,80,5938,338,15.106096328730212,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Global,pl,725,84,80,5938,338,14.971370831929942,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text,pl,678,83,79,5938,338,14.146177164028293,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Text+Global,pl,678,81,78,5938,338,14.095655102728191,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Conf,pl,730,67,85,5938,338,14.853486022229706,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Global,pl,715,64,108,5938,338,14.937689457729876,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text,pl,649,60,80,5938,338,13.287302121926574,POST_REVIEW_DIAGNOSTIC
DEV,202,B_Text+Global,pl,651,60,103,5938,338,13.708319299427417,POST_REVIEW_DIAGNOSTIC
DEV,202,Conf,tr,636,85,63,5463,338,14.351089145158339,EXACT_REUSE
DEV,202,Global,tr,629,83,62,5463,338,14.168039538714991,EXACT_REUSE
DEV,202,Text,tr,569,80,58,5463,338,12.941607175544572,EXACT_REUSE
DEV,202,Text+Global,tr,571,80,59,5463,338,12.996522057477577,EXACT_REUSE
DEV,202,ConfDupClean,tr,636,85,63,5463,338,14.351089145158339,POST_REVIEW_DIAGNOSTIC
DEV,202,ConfPerm,tr,629,83,62,5463,338,14.168039538714991,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Conf,tr,639,87,61,5463,338,14.406004027091342,POST_REVIEW_DIAGNOSTIC
DEV,202,A_Global,tr,629,84,62,5463,338,14.186344499359326,POST_REVIEW_DIAGNOSTIC
