physical_gpu,partition,recording_index,repetition,system,split,lang,quintile,original_duration_seconds,processed_duration_seconds,elapsed_seconds,model_placement_seconds_excluded,allocator_cache_cleared_before_timer,peak_allocated_bytes,peak_reserved_bytes,actual_candidates,selected_index,body_tokens,PLL_target_tokens,source_run,external_processes_before,external_processes_after,external_GPU_memory_MiB_before,external_GPU_memory_MiB_after
2,0,58,1,Text,TEST,pl,4,13.74,13.74,3.317039828747511,0.22874021157622337,True,2206979584,2323644416,5,0,83,322,IR-COST-P0_attempt0,0,0,0,0
2,0,58,2,B5,TEST,pl,4,13.74,13.74,1.700309181585908,0.9297982761636376,True,873433600,941621248,1,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,2,Conf,TEST,pl,4,13.74,13.74,3.1725244112312794,0.019676843658089638,True,872952832,939524096,5,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,2,Global,TEST,pl,4,13.74,13.74,3.278067789040506,0.02080525178462267,True,872952832,939524096,5,0,83,0,IR-COST-P0_attempt0,0,0,0,0
2,0,58,2,Text,TEST,pl,4,13.74,13.74,3.317487668246031,0.24194830283522606,True,2206979584,2323644416,5,0,83,322,IR-COST-P0_attempt0,0,0,0,0
2,0,58,2,Text+Global,TEST,pl,4,13.74,13.74,3.467579897493124,0.020174242556095123,True,2206979584,2323644416,5,3,83,322,IR-COST-P0_attempt0,0,0,0,0
2,0,60,0,B5,TEST,tr,0,8.22,8.22,0.46498730313032866,0.9551452584564686,True,873433600,926941184,1,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,0,Conf,TEST,tr,0,8.22,8.22,0.8987480942159891,0.049443663097918034,True,872952832,926941184,3,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,0,Global,TEST,tr,0,8.22,8.22,0.9895602893084288,0.020463370718061924,True,872952832,926941184,3,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,0,Text,TEST,tr,0,8.22,8.22,0.952478532679379,0.25027409568428993,True,2206979584,2243952640,3,0,19,41,IR-COST-P0_attempt0,0,0,0,0
2,0,60,0,Text+Global,TEST,tr,0,8.22,8.22,1.0122723514214158,0.017913361079990864,True,2206979584,2243952640,3,0,19,41,IR-COST-P0_attempt0,0,0,0,0
2,0,60,1,Conf,TEST,tr,0,8.22,8.22,0.9082225318998098,0.9833558602258563,True,872952832,926941184,3,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,1,Global,TEST,tr,0,8.22,8.22,0.9805826283991337,0.034363782964646816,True,872952832,926941184,3,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,1,Text,TEST,tr,0,8.22,8.22,0.9403002997860312,0.23381520994007587,True,2206979584,2243952640,3,0,19,41,IR-COST-P0_attempt0,0,0,0,0
2,0,60,1,Text+Global,TEST,tr,0,8.22,8.22,1.0115075334906578,0.01803481951355934,True,2206979584,2243952640,3,0,19,41,IR-COST-P0_attempt0,0,0,0,0
2,0,60,1,B5,TEST,tr,0,8.22,8.22,0.47307969722896814,0.9672995507717133,True,873433600,926941184,1,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,2,Global,TEST,tr,0,8.22,8.22,0.9861159268766642,0.018171819858253002,True,872952832,926941184,3,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,2,Text,TEST,tr,0,8.22,8.22,0.9395023547112942,0.23193870950490236,True,2206979584,2243952640,3,0,19,41,IR-COST-P0_attempt0,0,0,0,0
2,0,60,2,Text+Global,TEST,tr,0,8.22,8.22,1.0193256353959441,0.01778152585029602,True,2206979584,2243952640,3,0,19,41,IR-COST-P0_attempt0,0,0,0,0
2,0,60,2,B5,TEST,tr,0,8.22,8.22,0.4748953143134713,0.9484969209879637,True,873433600,926941184,1,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,60,2,Conf,TEST,tr,0,8.22,8.22,0.9047721344977617,0.01819545216858387,True,872952832,926941184,3,0,19,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,0,Global,TEST,tr,0,5.46,5.46,1.198276799172163,0.01806250400841236,True,872952832,929038336,4,1,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,0,Text,TEST,tr,0,5.46,5.46,1.1568021643906832,0.2505919449031353,True,2206979584,2246049792,4,1,24,64,IR-COST-P0_attempt0,0,0,0,0
2,0,62,0,Text+Global,TEST,tr,0,5.46,5.46,1.26689357124269,0.0178990438580513,True,2206979584,2246049792,4,0,24,64,IR-COST-P0_attempt0,0,0,0,0
2,0,62,0,B5,TEST,tr,0,5.46,5.46,0.5700908116996288,0.9308637408539653,True,873433600,929038336,1,0,24,0,IR-COST-P0_attempt0,0,0,0,0
2,0,62,0,Conf,TEST,tr,0,5.46,5.46,1.1038356106728315,0.018365485593676567,True,872952832,929038336,4,1,24,0,IR-COST-P0_attempt0,0,0,0,0
