split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,3.853570220991969
DEV,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,3.8533764490000095
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,0.9860163843259215
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,0.985942289
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,3.868326349183917
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,3.8682234369999975
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,2.0903393737971783
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,2.0902459589999998
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,8.910368517041206
TEST,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,8.910002205000012
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,2.1292061852291226
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,2.129033347
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,8.88661519344896
TEST,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,8.886260022000002
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,2.1392324697226286
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,2.139042797
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,8.864771875552833
TEST,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,8.864332468
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,24.421227170154452
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,24.419139232999996
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,38.12058582901955
CV27,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,38.08363136
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,23.672145859338343
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,23.669878583999996
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,37.85087755974382
CV27,202,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,37.845774344999995
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_wall_seconds,24.130053407512605
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,selection_process_CPU_seconds,24.127548280000006
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_wall_seconds,37.67546714004129
CV27,303,APPENDED_FROZEN_TEXT_INFORMATION,seconds,SHARED_CPU_PANEL,ALL,,,,,,,evaluation_process_CPU_seconds,37.647376568
ALL,ALL,APPENDED_FROZEN_TEXT_INFORMATION,seconds,CPU_PIPELINE,ALL,,,,,,,wall_seconds,235.35243497602642
ALL,ALL,APPENDED_FROZEN_TEXT_INFORMATION,seconds,CPU_PIPELINE,ALL,,,,,,,process_CPU_seconds,235.431843071
TRAIN_FIT,101,APPENDED_FROZEN_TEXT_INFORMATION,seconds,TWO_RIDGE_FITS,ALL,,,,,,,CPU_wall_seconds,4.009484731592238
