split,seed,label,unit,strategy,lang,S,D,I,N,records,WER,cost_component,cost_seconds
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,ar,1131,71,30,5325,295,23.136150234741784,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,ar,1379,91,43,5325,295,28.413145539906104,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,ar,1291,87,38,5325,295,26.591549295774648,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,ar,1283,87,37,5325,295,26.422535211267604,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,ar,1240,89,32,5325,295,25.558685446009388,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,ar,1234,90,32,5325,295,25.464788732394368,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,fa,2119,333,318,8170,369,33.90452876376989,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,fa,2141,336,388,8170,369,35.067319461444306,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,fa,2234,327,396,8170,369,36.19339045287638,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,fa,2141,350,290,8170,369,34.03916768665851,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,fa,2127,351,288,8170,369,33.85556915544676,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,fa,2129,354,289,8170,369,33.929008567931454,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,fa,2140,351,290,8170,369,34.03916768665851,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,fa,1936,298,272,8170,369,30.673194614443084,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,fa,2240,346,402,8170,369,36.57282741738066,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,fa,2125,341,391,8170,369,34.96940024479804,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,fa,2120,339,390,8170,369,34.87148102815178,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,fa,2052,347,289,8170,369,32.90085679314566,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,fa,2049,348,289,8170,369,32.87637698898409,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,pl,752,71,85,5938,338,15.291343886830584,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,pl,756,74,83,5938,338,15.375547322330751,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,pl,894,96,103,5938,338,18.406871000336814,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,pl,745,83,70,5938,338,15.122937015830246,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,pl,736,84,68,5938,338,14.95453014482991,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,pl,739,83,66,5938,338,14.95453014482991,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,pl,750,84,70,5938,338,15.223981138430448,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,pl,610,58,62,5938,338,12.293701583024587,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,pl,821,79,98,5938,338,16.807005725833616,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,pl,750,74,82,5938,338,15.257662512630516,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,pl,732,72,81,5938,338,14.904008083529808,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,pl,690,80,68,5938,338,14.112495789828225,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,pl,689,79,67,5938,338,14.061973728528123,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,tr,646,73,78,5463,338,14.589053633534688,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,tr,653,73,74,5463,338,14.643968515467693,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,tr,719,83,77,5463,338,16.090060406370128,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,tr,654,87,67,5463,338,14.790408200622368,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,tr,639,90,65,5463,338,14.534138751601684,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,tr,641,90,65,5463,338,14.570748672890353,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,tr,656,87,68,5463,338,14.845323082555373,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,tr,511,58,59,5463,338,11.495515284642138,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,tr,710,83,81,5463,338,15.998535603148452,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,tr,647,74,77,5463,338,14.607358594179022,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,tr,645,74,79,5463,338,14.607358594179022,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,tr,588,82,64,5463,338,13.435841112941608,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,tr,584,82,63,5463,338,13.344316309719934,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,B5,it,493,95,59,8758,391,7.387531399862983,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MBR,it,504,98,59,8758,391,7.547385247773464,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,CD-seq,it,659,122,79,8758,391,9.819593514501028,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Conf,it,502,105,47,8758,391,7.4674583238182235,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Global,it,486,102,46,8758,391,7.239095683946107,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Local,it,489,102,47,8758,391,7.28476821192053,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Shuffled,it,501,105,47,8758,391,7.456040191824617,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,Oracle6,it,357,77,40,8758,391,5.412194564969171,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,G,it,608,100,742,8758,391,16.556291390728475,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Conf,it,495,96,59,8758,391,7.4217857958438,,
DEV,303,EXACT_REUSE,WER percent; S/D/I/N word counts,MWER-Global,it,493,96,57,8758,391,7.376113267869377,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text,it,434,105,46,8758,391,6.67960721625942,,
DEV,303,APPENDED_FROZEN_TEXT_INFORMATION,WER percent; S/D/I/N word counts,Text+Global,it,431,102,44,8758,391,6.588262160310573,,
DEV,303,EXACT_REUSE,macro WER percent,B5,MACRO,,,,,,19.56031313304376,,
DEV,303,EXACT_REUSE,macro WER percent,CD-seq,MACRO,,,,,,21.77710044570889,,
DEV,303,EXACT_REUSE,macro WER percent,Conf,MACRO,,,,,,19.64361865853141,,
DEV,303,EXACT_REUSE,macro WER percent,G,MACRO,,,,,,22.86956113539946,,
DEV,303,EXACT_REUSE,macro WER percent,Global,MACRO,,,,,,19.453755949042826,,
DEV,303,EXACT_REUSE,macro WER percent,Local,MACRO,,,,,,19.492412058481587,,
